Subj,InputFile,14.4_-44.6_35.1,-33.0_10.6_-16.3,1.5_-55.8_-1.6,-2.7_-33.3_-13.8,-35.6_-2.5_43.1,31.1_-24.4_11.9,32.5_6.4_-18.7,-0.8_-6.2_-0.9,-7.5_-5.7_38.8,-38.4_21.1_24.7
CID0010,CID.0010.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,-0.117542,-0.084074,0.013357,-0.029703,0.016318,-0.065987,0.191257,-0.052856,0.021150,0.132898
CID0013,CID.0013.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,-0.058694,0.056453,-0.067071,0.213748,-0.092262,-0.018483,0.029070,-0.045168,-0.146420,0.010405
CID0023,CID.0023.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.121684,0.116465,-0.020691,0.124677,-0.153927,0.009972,0.260110,0.031527,0.022731,-0.089327
CID0026,CID.0026.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.353626,0.033918,0.000000,0.000000,0.021990,0.061752,0.051063,-0.039956,-0.183160,-0.044204
CID0028,CID.0028.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.125215,0.155605,0.058496,-0.105480,0.070513,0.048274,0.129008,-0.008889,-0.012829,0.512068
CID0030,CID.0030.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.186783,0.175793,-0.000132,-0.000392,-0.266851,0.061195,0.111105,-0.057217,0.055439,-0.212651
CID0032,CID.0032.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.157236,0.113064,0.007148,0.115460,-0.035727,-0.046975,0.112753,0.149037,-0.029449,-0.040536
CID0033,CID.0033.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.439808,0.108264,-0.019439,0.024289,-0.312076,-0.054461,0.001348,0.019725,-0.127723,-0.225884
CID0034,CID.0034.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.125419,0.033109,0.035405,-0.032224,-0.084237,0.115440,0.179831,0.124168,-0.192646,-0.055793
CID0035,CID.0035.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.233798,0.174639,-0.136977,0.012414,0.070003,0.098607,0.118779,-0.008562,-0.069571,-0.096233
CID0039,CID.0039.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.478410,-0.067265,0.059290,-0.179647,-0.182964,-0.115789,-0.040093,0.216777,0.061884,-0.194702
