Subj,InputFile,13.0_-41.0_39.0,-30.0_5.0_-13.0,0.0_-56.0_-1.0,-5.0_-32.0_-16.0,-35.0_-2.0_44.0,31.0_-27.0_12.0,32.0_6.0_-20.0,-3.0_-6.0_1.0,-8.0_-6.0_39.0,-39.0_21.0_25.0
CID0010,CID.0010.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.036072,-0.029730,0.044323,0.075115,-0.002484,0.010152,0.273091,-0.038000,-0.008073,0.105597
CID0013,CID.0013.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,-0.118683,-0.047163,-0.154456,0.155948,-0.165015,0.059425,0.061848,-0.063299,-0.127691,0.050153
CID0023,CID.0023.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.087562,-0.040481,-0.085008,0.152404,-0.198174,-0.062934,0.281212,-0.062389,0.064501,-0.099446
CID0026,CID.0026.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.468960,0.020736,0.000000,0.000000,0.077393,0.110829,0.000000,-0.073928,-0.231322,-0.063747
CID0028,CID.0028.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.434927,0.142471,0.127440,-0.227273,0.075952,0.068452,0.229880,-0.009619,-0.066594,0.545077
CID0030,CID.0030.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.296016,0.157298,0.000000,0.000000,-0.317590,-0.047221,0.039282,-0.015735,0.030329,-0.315779
CID0032,CID.0032.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.056706,0.136244,-0.048748,0.095622,-0.068783,-0.007876,-0.012271,0.079430,0.021734,-0.039967
CID0033,CID.0033.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.535692,0.005104,0.048779,0.000000,-0.424652,-0.004861,0.020824,0.112866,-0.204741,-0.260549
CID0034,CID.0034.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.034958,0.275572,0.136670,-0.058966,-0.081443,-0.030163,0.180821,0.159563,-0.240492,-0.058750
CID0035,CID.0035.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.183423,0.308968,-0.194347,0.000000,0.061317,0.100304,0.140667,0.009607,-0.086446,-0.079990
CID0039,CID.0039.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.469099,-0.092810,0.129570,-0.119845,-0.146715,-0.119462,0.018060,0.343610,0.051040,-0.217016
CID0041,CID.0041.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,-0.045360,-0.146274,-0.190333,0.179381,-0.170721,-0.054095,-0.126536,-0.060596,-0.184860,-0.072439
CID0044,CID.0044.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.068923,-0.276579,0.039266,-0.002738,-0.265059,-0.239021,0.088196,0.103959,-0.184964,-0.153653
CID0046,CID.0046.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,-0.132585,0.051404,0.202819,-0.390082,-0.180077,-0.152851,0.124898,0.226726,-0.174506,-0.059944
CID0049,CID.0049.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,-0.217127,0.146991,0.049279,0.086813,-0.315637,-0.155168,-0.177605,-0.062746,-0.059366,-0.247190
CID0053,CID.0053.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,-0.143591,0.152071,0.060740,0.435893,-0.141787,0.005337,0.082111,-0.101143,-0.091020,0.005743
CID0059,CID.0059.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.040410,0.121242,-0.264002,-0.019454,-0.054667,0.011339,0.126547,-0.159057,0.175744,-0.068520
CID0060,CID.0060.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.279968,-0.017206,0.058058,0.040817,0.074501,0.462092,0.154866,0.130321,0.340061,0.080392
CID0061,CID.0061.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,-0.281564,-0.011945,-0.224157,-0.082865,0.207733,-0.075384,0.029843,0.229443,-0.212048,0.145594
CID0063,CID.0063.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,-0.117778,0.167646,-0.177367,0.150424,-0.063752,-0.244630,0.124876,-0.015709,0.039951,-0.092024
CID0064,CID.0064.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,-0.058478,0.163078,-0.112262,0.212887,-0.144476,0.141316,0.118288,-0.122512,-0.001207,-0.068599
CID0072,CID.0072.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.082986,-0.130264,-0.275823,0.003777,-0.098522,0.097320,-0.191268,-0.006842,0.207095,0.094463
CID0073,CID.0073.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.265259,-0.091748,0.059960,-0.034857,-0.419814,-0.026741,0.302374,-0.032483,0.000433,-0.067613
CID0075,CID.0075.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.183236,-0.102671,-0.704013,-0.242457,0.004668,0.149738,0.376665,0.542047,-0.024683,0.082082
CID0076,CID.0076.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,-0.056324,0.248365,-0.040148,-0.111208,-0.258482,0.087546,0.138712,-0.039075,-0.124720,0.083492
CID0079,CID.0079.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.009519,0.525532,-0.121594,0.162288,-0.331027,-0.130339,0.007770,-0.040941,-0.182060,-0.096426
CID0080,CID.0080.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,-0.058152,0.033982,0.108386,-0.169465,-0.050429,0.124806,0.293778,0.080894,-0.043405,-0.548674
CID0082,CID.0082.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.256857,-0.199470,0.306634,-0.227394,-0.198031,0.140088,0.155581,-0.177361,-0.290203,0.032804
CID0083,CID.0083.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,-0.216412,0.265291,0.133305,-0.119535,-0.374295,0.291648,0.369297,0.098033,-0.246235,-0.055014
CID0087,CID.0087.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,-0.070159,0.352159,0.212659,0.029638,-0.389000,-0.204327,0.200211,0.133147,-0.079803,-0.092380
CID0093,CID.0093.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,-0.188287,0.671201,-0.374745,0.631737,-0.244289,-0.350084,-0.152540,-0.522599,-0.192385,-0.220387
CID0096,CID.0096.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.370696,0.341805,0.186871,-0.180480,-0.116771,0.100578,0.159536,-0.258230,0.096956,0.021710
CID0099,CID.0099.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.359324,0.296299,-0.163645,0.157670,0.194607,0.063303,0.057960,-0.011216,-0.111011,0.131182
CID0101,CID.0101.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,-0.151335,0.106669,-0.033603,0.080986,-0.012495,0.065117,0.027157,-0.061507,-0.181201,0.124061
CID0103,CID.0103.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,-0.061704,0.117939,-0.101887,-0.177024,-0.118083,0.095446,-0.054635,0.204882,0.094708,-0.004520
CID0104,CID.0104.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.020934,-0.016172,0.248129,-0.021294,0.013132,-0.038860,0.131557,-0.198432,-0.091836,-0.017090
CID0107,CID.0107.rsFC.cg25_bilateral_proc_05272014.Scan1.nii.gz,0.084483,0.170688,0.240655,0.024411,-0.105255,0.112959,-0.282971,-0.081965,-0.164085,-0.131480
