label,description
NT,Number of tracks
fNT,Fractional number of tracks
PV,Physical volume of tracks
fNV,Fractional volume of tracks
NV,Number of voxels
BL,Bundle length
sBL,Bundle length (StDev)
FA,Fractional anisotropy
sFA,Fractional anisotropy (StDev)
MD,Mean diffusivity
sMD,Mean diffusivity (StDev)
L1,Parallel diffusivity (1st eigenvalue)
sL1,Parallel diffusivity (1st eigenvalue) (StDev)
RD,Radial diffusivity
sRD,Radial diffusivity (StDev)
L2,2nd eigen (part of perp. diffusivity)
sL2,2nd eigen (part of perp. diffusivity) (StDev)
L3,3rd eigen (part of perp. diffusivity)
sL3,3rd eigen (part of perp. diffusivity) (StDev)
NTpTarVol,NT div. by ave. target volume
NTpTarSA ,NT div. by ave. target surface area
NTpTarSAFA,NT div. by ave. target surface area bordering WM
XF,Extra WM map
sXF,Extra WM map (StDev)
CC,Pearson correlation
FZ,Fisher Z-transform of Pearson
PC,Partial correlation
PCB,Partial correlation (asym)
none,Custom Matrix
